,aimchat.pcap
0,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
1,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
2,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
3,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
4,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
5,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
6,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
7,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
8,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
9,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
10,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
11,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
12,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
13,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
14,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
15,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
16,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
17,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
18,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
19,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
20,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
21,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
22,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
23,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
24,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
25,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
26,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
27,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
28,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
29,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
30,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
31,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
32,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
33,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
34,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
35,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
36,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
37,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
38,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
39,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
40,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
41,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
42,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
43,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
44,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
45,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
46,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
47,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
48,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
49,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
50,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
51,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
52,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
53,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
54,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
55,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
56,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
57,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
58,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
59,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
60,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
61,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
62,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
63,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
64,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
65,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
66,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
67,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
68,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
69,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
70,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
71,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
72,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
73,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
74,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
75,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
76,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
77,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
78,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
79,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
80,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
81,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
82,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
83,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
84,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
85,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
86,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
87,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
88,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
89,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
90,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
91,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
92,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
93,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
94,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
95,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
96,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
97,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
98,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
99,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
100,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
101,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
102,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
103,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
104,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
105,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
106,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
107,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
108,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
109,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
110,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
111,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
112,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
113,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
114,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
115,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
116,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
117,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
118,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
119,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
120,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
121,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
122,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
123,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
124,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
125,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
126,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
127,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
128,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
129,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
130,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
131,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
132,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
133,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
134,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
135,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
136,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
137,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
138,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
139,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
140,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
141,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
142,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
143,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
144,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
145,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
146,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
147,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
148,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
149,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
150,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
151,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
152,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
153,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
154,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
155,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
156,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
157,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
158,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
159,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
160,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
161,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
162,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
163,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
164,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
165,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
166,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
167,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
168,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
169,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
170,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
171,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
172,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
173,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
174,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
175,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
176,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
177,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
178,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
179,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
180,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
181,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
182,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
183,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
184,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
185,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
186,"['5.9.28.6', 5222, '10.152.152.11', 56297]"
187,"['10.152.152.11', 56297, '5.9.28.6', 5222]"
188,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
189,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
